"03321: Sysselsatte (15-74 år) per 4. kvartal. Pendlingsstrømmer, etter statistikkvariabel, arbeidsstedskommune, bostedskommune og år"

"statistikkvariabel";"arbeidsstedskommune";"bostedskommune";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Sysselsatte personer";"1106 Haugesund";"1106 Haugesund";10157;10148;10353;10353;10573;10650;11112;11760;11936;11947;12034;12295;12364;12416;12507;12126;12038;12102;12090;12086;11714
"Sysselsatte personer";"1106 Haugesund";"1135 Sauda";60;57;56;53;54;38;43;51;42;38;36;34;41;41;37;31;34;49;38;32;31
"Sysselsatte personer";"1106 Haugesund";"1145 Bokn";34;33;38;38;41;46;44;51;53;53;53;50;47;56;52;51;59;55;54;48;50
"Sysselsatte personer";"1106 Haugesund";"1146 Tysvær";1234;1320;1369;1338;1416;1393;1502;1520;1539;1527;1566;1630;1635;1657;1645;1578;1560;1593;1560;1576;1540
"Sysselsatte personer";"1106 Haugesund";"1149 Karmøy";4081;4179;4241;4270;4406;4456;4900;5015;5032;5005;5049;5101;5201;5215;5215;4984;4963;4985;4896;4991;4916
"Sysselsatte personer";"1106 Haugesund";"1151 Utsira";2;5;5;7;8;2;4;7;7;7;10;9;6;7;5;8;6;5;5;3;4
"Sysselsatte personer";"1106 Haugesund";"1154 Vindafjord (1965-2005)";201;224;206;204;211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1106 Haugesund";"1159 Ølen (2002-2005)";97;116;103;94;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1106 Haugesund";"1160 Vindafjord";0;0;0;0;0;321;341;330;337;332;316;332;347;332;333;308;314;306;321;324;306
"Sysselsatte personer";"1106 Haugesund";"4611 Etne";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62
"Sysselsatte personer";"1106 Haugesund";"4612 Sveio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;856
"Sysselsatte personer";"1106 Haugesund";"4613 Bømlo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99
"Sysselsatte personer";"1106 Haugesund";"4614 Stord";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194
"Sysselsatte personer";"1106 Haugesund";"4615 Fitjar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28
"Sysselsatte personer";"1106 Haugesund";"4616 Tysnes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
"Sysselsatte personer";"1106 Haugesund";"4617 Kvinnherad";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35
"Sysselsatte personer";"1106 Haugesund";"4618 Ullensvang";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
"Sysselsatte personer";"1106 Haugesund";"1211 Etne (-2019)";56;49;57;53;63;65;75;79;77;72;70;76;86;90;76;54;47;57;60;64;0
"Sysselsatte personer";"1106 Haugesund";"1216 Sveio (-2019)";680;736;756;755;744;788;828;844;855;824;816;888;904;876;865;805;813;833;811;854;0
"Sysselsatte personer";"1106 Haugesund";"1219 Bømlo (1916-2019)";74;90;103;81;69;89;90;109;107;100;96;95;105;98;94;92;96;118;123;110;0
"Sysselsatte personer";"1106 Haugesund";"1221 Stord (-2019)";67;80;95;75;97;130;149;180;174;122;126;123;132;157;167;144;173;193;196;196;0
"Sysselsatte personer";"1106 Haugesund";"1222 Fitjar (-2019)";8;9;12;11;14;13;20;20;13;10;12;12;8;11;10;11;15;12;13;25;0
"Sysselsatte personer";"1106 Haugesund";"1223 Tysnes (-2019)";3;1;4;3;3;4;5;5;8;5;2;4;4;3;4;2;1;2;4;5;0
"Sysselsatte personer";"1106 Haugesund";"1224 Kvinnherad (-2019)";30;38;43;27;32;30;38;36;31;36;35;36;38;36;36;33;32;39;39;34;0
