Naering,Kjonn,Alder,ContentsCode,Aar,Haugesund,Sauda,Bokn,Tysvaer,Karmoey,Utsira,Vindafjord
00-99,0,15-74,SysselsatteArb,2008,21322,2136,297,4048,15194,111,4422
00-99,0,15-74,SysselsatteArb,2009,21160,2176,296,4160,14666,105,4450
00-99,0,15-74,SysselsatteArb,2010,21233,2180,291,4232,14591,105,4544
00-99,0,15-74,SysselsatteArb,2011,21734,2131,293,4475,14781,114,4748
00-99,0,15-74,SysselsatteArb,2012,21986,2100,317,4423,14989,108,4785
00-99,0,15-74,SysselsatteArb,2013,22143,2048,327,4281,15239,103,4870
00-99,0,15-74,SysselsatteArb,2014,22190,2073,327,4329,15457,105,5037
00-99,0,15-74,SysselsatteArb,2015,21328,1977,301,4304,15066,96,4971
00-99,0,15-74,SysselsatteArb,2016,21056,1951,306,4314,15287,94,4915
00-99,0,15-74,SysselsatteArb,2017,21372,1956,311,4576,15728,99,4915
00-99,0,15-74,SysselsatteArb,2018,21346,1937,291,4620,15866,90,4814
00-99,0,15-74,SysselsatteArb,2019,21429,1945,327,4710,15978,88,4818
00-99,0,15-74,SysselsatteArb,2020,20852,1970,323,4773,16059,96,4898
00-99,0,55-66,SysselsatteArb,2008,3574,433,66,607,2549,24,771
00-99,0,55-66,SysselsatteArb,2009,3584,434,71,624,2583,23,767
00-99,0,55-66,SysselsatteArb,2010,3694,454,63,641,2566,22,798
00-99,0,55-66,SysselsatteArb,2011,3779,467,60,692,2575,25,835
00-99,0,55-66,SysselsatteArb,2012,3897,462,64,706,2629,33,848
00-99,0,55-66,SysselsatteArb,2013,3888,456,65,735,2762,29,864
00-99,0,55-66,SysselsatteArb,2014,3939,480,58,748,2778,23,911
00-99,0,55-66,SysselsatteArb,2015,3898,466,67,749,2726,19,923
00-99,0,55-66,SysselsatteArb,2016,3867,453,51,779,2731,30,911
00-99,0,55-66,SysselsatteArb,2017,3900,457,54,836,2754,21,927
00-99,0,55-66,SysselsatteArb,2018,3854,459,53,844,2732,27,937
00-99,0,55-66,SysselsatteArb,2019,3844,462,63,883,2834,24,944
00-99,0,55-66,SysselsatteArb,2020,3750,467,61,917,2900,31,981
00-99,0,67-74,SysselsatteArb,2008,321,45,3,92,254,0,128
