Knr,Naering,Kjonn,ContentsCode,Aar,Haugesund,Sauda,Bokn,Tysvaer,Karmoy,Utsira,Vindafjord,1145_55-66,1145_67-74,1146_15-74,1146_55-66,1146_67-74,1149_15-74,1149_55-66,1149_67-74,1151_15-74,1151_55-66,1151_67-74,1160_15-74,1160_55-66,1160_67-74
1106,00-99,0,SysselsatteArb,2008,21322,3574,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,00-99,0,SysselsatteArb,2009,21160,3584,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,00-99,0,SysselsatteArb,2010,21233,3694,369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,00-99,0,SysselsatteArb,2011,21734,3779,404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,00-99,0,SysselsatteArb,2012,21986,3897,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,00-99,0,SysselsatteArb,2013,22143,3888,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,00-99,0,SysselsatteArb,2014,22190,3939,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,00-99,0,SysselsatteArb,2015,21328,3898,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,00-99,0,SysselsatteArb,2016,21056,3867,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,00-99,0,SysselsatteArb,2017,21372,3900,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,00-99,0,SysselsatteArb,2018,21346,3854,476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,00-99,0,SysselsatteArb,2019,21429,3844,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,00-99,0,SysselsatteArb,2020,20852,3750,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,01-03,0,SysselsatteArb,2008,74,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,01-03,0,SysselsatteArb,2009,67,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,01-03,0,SysselsatteArb,2010,72,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,01-03,0,SysselsatteArb,2011,66,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
