Knr,Naering,Kjonn,Alder,ContentsCode,Aar,value
4611,00-99,0,15-74,SysselsatteArb,2008,0
4611,00-99,0,15-74,SysselsatteArb,2009,0
4611,00-99,0,15-74,SysselsatteArb,2010,0
4611,00-99,0,15-74,SysselsatteArb,2011,0
4611,00-99,0,15-74,SysselsatteArb,2012,0
4611,00-99,0,15-74,SysselsatteArb,2013,0
4611,00-99,0,15-74,SysselsatteArb,2014,0
4611,00-99,0,15-74,SysselsatteArb,2015,0
4611,00-99,0,15-74,SysselsatteArb,2016,0
4611,00-99,0,15-74,SysselsatteArb,2017,0
4611,00-99,0,15-74,SysselsatteArb,2018,0
4611,00-99,0,15-74,SysselsatteArb,2019,0
4611,00-99,0,15-74,SysselsatteArb,2020,1613
4611,00-99,0,55-66,SysselsatteArb,2008,0
4611,00-99,0,55-66,SysselsatteArb,2009,0
4611,00-99,0,55-66,SysselsatteArb,2010,0
4611,00-99,0,55-66,SysselsatteArb,2011,0
4611,00-99,0,55-66,SysselsatteArb,2012,0
4611,00-99,0,55-66,SysselsatteArb,2013,0
4611,00-99,0,55-66,SysselsatteArb,2014,0
4611,00-99,0,55-66,SysselsatteArb,2015,0
4611,00-99,0,55-66,SysselsatteArb,2016,0
4611,00-99,0,55-66,SysselsatteArb,2017,0
4611,00-99,0,55-66,SysselsatteArb,2018,0
4611,00-99,0,55-66,SysselsatteArb,2019,0
4611,00-99,0,55-66,SysselsatteArb,2020,337
4611,00-99,0,67-74,SysselsatteArb,2008,0
4611,00-99,0,67-74,SysselsatteArb,2009,0
4611,00-99,0,67-74,SysselsatteArb,2010,0
4611,00-99,0,67-74,SysselsatteArb,2011,0
4611,00-99,0,67-74,SysselsatteArb,2012,0
4611,00-99,0,67-74,SysselsatteArb,2013,0
4611,00-99,0,67-74,SysselsatteArb,2014,0
4611,00-99,0,67-74,SysselsatteArb,2015,0
4611,00-99,0,67-74,SysselsatteArb,2016,0
4611,00-99,0,67-74,SysselsatteArb,2017,0
4611,00-99,0,67-74,SysselsatteArb,2018,0
4611,00-99,0,67-74,SysselsatteArb,2019,0
4611,00-99,0,67-74,SysselsatteArb,2020,72
4611,01-03,0,15-74,SysselsatteArb,2008,0
4611,01-03,0,15-74,SysselsatteArb,2009,0
4611,01-03,0,15-74,SysselsatteArb,2010,0
4611,01-03,0,15-74,SysselsatteArb,2011,0
4611,01-03,0,15-74,SysselsatteArb,2012,0
4611,01-03,0,15-74,SysselsatteArb,2013,0
4611,01-03,0,15-74,SysselsatteArb,2014,0
4611,01-03,0,15-74,SysselsatteArb,2015,0
4611,01-03,0,15-74,SysselsatteArb,2016,0
4611,01-03,0,15-74,SysselsatteArb,2017,0
4611,01-03,0,15-74,SysselsatteArb,2018,0
