Knr,Kjonn,ContentsCode,Aar,knavn,00-99_15-74,00-99_55-66,00-99_67-74,01-03_15-74,01-03_55-66,01-03_67-74,05-09_15-74,05-09_55-66,05-09_67-74,10-33_15-74,10-33_55-66,10-33_67-74,35-39_15-74,35-39_55-66,35-39_67-74,41-43_15-74,41-43_55-66,41-43_67-74,45-47_15-74,45-47_55-66,45-47_67-74,49-53_15-74,49-53_55-66,49-53_67-74,55-56_15-74,55-56_55-66,55-56_67-74,58-63_15-74,58-63_55-66,58-63_67-74,64-66_15-74,64-66_55-66,64-66_67-74,68-75_15-74,68-75_55-66,68-75_67-74,77-82_15-74,77-82_55-66,77-82_67-74,84_15-74,84_55-66,84_67-74,85_15-74,85_55-66,85_67-74,86-88_15-74,86-88_55-66,86-88_67-74,90-99_15-74,90-99_55-66,90-99_67-74,00_15-74,00_55-66,00_67-74
1106,0,SysselsatteArb,2008,1106,21322,3574,321,74,15,5,452,24,0,2572,406,22,267,69,0,1263,162,22,3945,492,36,1261,281,32,863,61,3,405,69,4,286,115,6,995,202,11,1029,124,13,927,216,12,1422,369,38,4812,855,87,675,93,19,74,21,11
1106,0,SysselsatteArb,2009,1106,21160,3584,350,67,15,6,455,24,0,2570,400,19,286,71,3,1296,166,19,3810,487,51,1249,277,31,774,63,6,400,69,7,281,107,3,1028,205,19,867,120,12,968,200,6,1535,382,41,4865,887,95,627,92,20,82,19,12
1106,0,SysselsatteArb,2010,1106,21233,3694,369,72,14,8,318,23,3,2486,392,18,313,71,5,1226,168,21,3793,487,57,1141,280,36,838,64,9,429,75,6,260,101,3,1207,237,21,823,124,10,1022,205,26,1632,404,44,4952,946,76,628,83,16,93,20,10
1106,0,SysselsatteArb,2011,1106,21734,3779,404,66,12,9,335,29,0,2600,392,24,325,71,6,1273,161,23,3814,490,58,1174,299,49,833,62,9,439,69,6,244,95,3,1239,251,31,886,133,4,1020,211,27,1637,406,44,5133,990,87,636,87,16,80,21,8
1106,0,SysselsatteArb,2012,1106,21986,3897,423,69,15,10,379,32,0,2766,383,20,335,71,6,1211,172,24,3712,500,67,1211,304,52,871,68,11,450,63,6,234,102,3,1284,255,34,924,135,12,1068,214,27,1721,425,48,5040,1038,85,630,96,18,81,24,0
1106,0,SysselsatteArb,2013,1106,22143,3888,460,71,11,11,404,28,3,2805,390,16,343,65,5,1340,183,27,3670,502,67,1046,249,63,939,69,10,458,66,5,219,94,3,1372,262,46,890,121,12,1094,226,20,1709,406,57,5057,1097,87,650,100,19,76,19,9
1106,0,SysselsatteArb,2014,1106,22190,3939,468,70,16,13,416,34,0,2682,395,21,348,61,3,1294,196,26,3642,506,73,1069,244,64,965,69,6,477,69,3,219,97,0,1391,250,49,915,118,14,1152,239,18,1733,418,71,5096,1110,75,646,98,22,75,19,10
1106,0,SysselsatteArb,2015,1106,21328,3898,420,80,16,10,417,35,0,2371,355,18,347,76,3,1240,199,23,3295,449,52,1067,251,56,827,63,9,463,65,3,220,92,0,1384,252,33,678,107,12,1080,246,10,1680,404,38,5395,1158,113,658,91,18,126,39,22
1106,0,SysselsatteArb,2016,1106,21056,3867,440,67,12,9,369,40,0,2196,316,12,375,86,3,1179,204,24,3233,459,57,1001,229,48,908,64,8,474,66,3,202,83,7,1332,236,45,613,102,8,1121,254,18,1764,425,39,5416,1144,120,683,111,18,123,36,21
1106,0,SysselsatteArb,2017,1106,21372,3900,483,70,15,8,402,45,0,2110,327,18,379,91,4,1197,207,22,3235,464,63,996,228,53,924,73,8,483,78,3,193,76,8,1369,236,59,752,115,4,1114,235,14,1771,413,41,5513,1156,125,740,110,26,124,31,27
