Knr,Kjonn,Alder,ContentsCode,Aar,Alle naeringer,"Jordbruk, skogbruk og fiske",Bergverksdrift og utvinning,Industri,"Elektrisitet, vann og renevasjon",Bygge- og anleggsvirksomhet,"Varehandel, reparasjon av motorvogner",Transport og lagring,Overnattings- og serveringsvriksomhet,Informasjon og kommunikasjon,Finansiering og forsikring ,"Teknisk tjenesteyting, eiendosmdrift",Forretningsmessig tjenesteyting,"Off.adm., forsvar, sosialforsikring",Undervisning,Helse- og sosialtjenester,Personlig tjenesteyting,Uoppgitt
1106,0,15-74,Sysselsatte,2008,17611,130,859,2289,183,1134,2592,1054,723,376,245,757,1019,685,1324,3648,516,77
1106,0,15-74,Sysselsatte,2009,17294,114,881,2086,174,1138,2559,1035,681,351,233,803,831,713,1427,3679,507,82
1106,0,15-74,Sysselsatte,2010,17460,122,952,1885,182,1146,2539,1005,759,393,215,894,854,770,1466,3679,506,93
1106,0,15-74,Sysselsatte,2011,17901,124,1003,1936,186,1230,2558,969,763,400,198,923,921,764,1465,3832,548,81
1106,0,15-74,Sysselsatte,2012,18178,125,1117,1999,186,1249,2529,973,824,386,187,966,944,828,1519,3715,545,86
1106,0,15-74,Sysselsatte,2013,18337,115,1121,2018,195,1321,2482,969,875,400,173,1002,865,875,1507,3783,560,76
1106,0,15-74,Sysselsatte,2014,18609,120,1112,1983,211,1304,2516,1031,864,403,162,1054,930,886,1538,3851,567,77
1106,0,15-74,Sysselsatte,2015,17855,122,1028,1809,190,1241,2388,1029,746,371,156,974,762,832,1526,3969,582,130
1106,0,15-74,Sysselsatte,2016,17806,110,943,1744,183,1226,2378,999,772,362,148,958,807,848,1603,3998,614,113
1106,0,15-74,Sysselsatte,2017,18117,123,944,1765,183,1242,2357,990,815,364,147,993,891,834,1639,4067,642,121
1106,0,15-74,Sysselsatte,2018,18295,107,1094,1776,184,1236,2354,1021,805,415,141,930,874,861,1636,4107,642,112
1106,0,15-74,Sysselsatte,2019,18448,110,1141,1884,181,1225,2216,1006,804,443,132,952,913,935,1612,4187,608,99
1106,0,15-74,Sysselsatte,2020,18137,120,1130,1905,197,1146,2147,968,693,484,128,917,883,864,1600,4259,605,91
1106,0,55-66,Sysselsatte,2008,2852,21,127,354,36,120,326,237,45,54,87,135,117,139,309,641,81,23
1106,0,55-66,Sysselsatte,2009,2857,19,107,338,39,119,319,229,51,46,81,155,101,138,338,676,81,20
1106,0,55-66,Sysselsatte,2010,2970,17,135,301,38,132,318,225,54,59,75,183,103,153,357,723,74,23
1106,0,55-66,Sysselsatte,2011,3042,17,142,294,40,130,322,219,50,58,75,186,119,166,361,760,79,24
1106,0,55-66,Sysselsatte,2012,3110,19,154,284,40,147,337,213,59,53,79,183,121,163,374,759,98,27
1106,0,55-66,Sysselsatte,2013,3175,15,167,297,36,154,334,216,59,50,76,192,113,179,366,803,97,21
1106,0,55-66,Sysselsatte,2014,3219,18,182,291,33,163,337,212,63,47,67,194,127,179,374,819,93,20
1106,0,55-66,Sysselsatte,2015,3188,17,181,269,38,179,323,215,61,37,60,192,99,180,375,842,81,39
1106,0,55-66,Sysselsatte,2016,3191,15,185,274,41,180,329,204,67,39,55,182,106,169,389,827,97,32
1106,0,55-66,Sysselsatte,2017,3243,16,193,287,41,188,328,192,73,57,50,182,120,155,375,857,100,29
1106,0,55-66,Sysselsatte,2018,3301,17,241,306,37,185,348,190,68,58,46,169,132,153,377,845,97,32
1106,0,55-66,Sysselsatte,2019,3302,15,258,330,37,187,328,190,69,59,43,175,131,158,373,824,100,25
1106,0,55-66,Sysselsatte,2020,3300,16,265,341,41,194,322,190,67,58,38,165,142,149,360,833,101,18
1106,0,67-74,Sysselsatte,2008,274,8,0,27,0,17,29,19,7,7,3,14,10,4,33,69,16,11
1106,0,67-74,Sysselsatte,2009,288,6,0,24,3,13,42,16,6,8,3,19,7,6,36,72,17,10
1106,0,67-74,Sysselsatte,2010,276,8,0,13,3,19,41,18,4,7,3,18,5,24,38,49,16,10
1106,0,67-74,Sysselsatte,2011,323,11,4,21,3,14,45,28,9,8,3,26,5,25,35,61,16,9
1106,0,67-74,Sysselsatte,2012,333,12,5,25,0,16,51,30,10,6,3,27,10,22,36,62,15,3
1106,0,67-74,Sysselsatte,2013,355,10,3,20,0,20,48,36,5,10,3,38,13,16,39,65,20,9
1106,0,67-74,Sysselsatte,2014,370,14,0,20,3,18,56,39,3,3,0,35,15,15,55,60,24,10
1106,0,67-74,Sysselsatte,2015,329,10,0,18,0,21,35,37,3,6,0,24,14,10,26,81,21,23
1106,0,67-74,Sysselsatte,2016,360,9,0,14,3,21,32,35,3,3,3,38,11,18,28,98,22,22
