Naering,Kjonn,ContentsCode,Aar,Haugesund_15-74,Haugesund_55-66,Haugesund_67-74,Sauda_15-74,Sauda_55-66,Sauda_67-74,Bokn_15-74
00-99,0,SysselsatteArb,2008,21322,2136,297,4048,15194,111,4422
00-99,0,SysselsatteArb,2009,21160,2176,296,4160,14666,105,4450
00-99,0,SysselsatteArb,2010,21233,2180,291,4232,14591,105,4544
00-99,0,SysselsatteArb,2011,21734,2131,293,4475,14781,114,4748
00-99,0,SysselsatteArb,2012,21986,2100,317,4423,14989,108,4785
00-99,0,SysselsatteArb,2013,22143,2048,327,4281,15239,103,4870
00-99,0,SysselsatteArb,2014,22190,2073,327,4329,15457,105,5037
00-99,0,SysselsatteArb,2015,21328,1977,301,4304,15066,96,4971
00-99,0,SysselsatteArb,2016,21056,1951,306,4314,15287,94,4915
00-99,0,SysselsatteArb,2017,21372,1956,311,4576,15728,99,4915
00-99,0,SysselsatteArb,2018,21346,1937,291,4620,15866,90,4814
00-99,0,SysselsatteArb,2019,21429,1945,327,4710,15978,88,4818
00-99,0,SysselsatteArb,2020,20852,1970,323,4773,16059,96,4898
01-03,0,SysselsatteArb,2008,74,36,51,298,472,9,678
01-03,0,SysselsatteArb,2009,67,43,59,282,462,6,658
01-03,0,SysselsatteArb,2010,72,36,54,270,447,9,649
01-03,0,SysselsatteArb,2011,66,36,67,239,378,9,684
01-03,0,SysselsatteArb,2012,69,39,52,219,369,6,623
01-03,0,SysselsatteArb,2013,71,36,57,209,357,3,571
01-03,0,SysselsatteArb,2014,70,33,49,190,337,6,571
01-03,0,SysselsatteArb,2015,80,25,56,196,340,6,627
01-03,0,SysselsatteArb,2016,67,26,61,194,367,6,633
01-03,0,SysselsatteArb,2017,70,21,74,186,347,6,625
01-03,0,SysselsatteArb,2018,65,28,65,182,358,6,608
01-03,0,SysselsatteArb,2019,89,30,67,192,329,6,567
01-03,0,SysselsatteArb,2020,83,26,67,204,338,6,578
05-09,0,SysselsatteArb,2008,452,0,0,825,55,0,6
05-09,0,SysselsatteArb,2009,455,0,0,872,134,0,6
05-09,0,SysselsatteArb,2010,318,0,0,866,161,0,3
05-09,0,SysselsatteArb,2011,335,0,0,850,172,0,3
05-09,0,SysselsatteArb,2012,379,0,0,909,187,0,3
05-09,0,SysselsatteArb,2013,404,0,0,859,209,0,0
05-09,0,SysselsatteArb,2014,416,0,0,852,246,0,7
05-09,0,SysselsatteArb,2015,417,0,0,820,194,0,3
05-09,0,SysselsatteArb,2016,369,0,0,790,196,0,3
05-09,0,SysselsatteArb,2017,402,0,0,797,263,0,3
05-09,0,SysselsatteArb,2018,655,0,0,759,300,0,3
05-09,0,SysselsatteArb,2019,685,0,0,757,307,0,3
05-09,0,SysselsatteArb,2020,694,0,0,NA,291,0,NA
10-33,0,SysselsatteArb,2008,2572,468,41,268,3357,0,785
10-33,0,SysselsatteArb,2009,2570,429,40,270,2806,3,852
10-33,0,SysselsatteArb,2010,2486,414,31,252,2571,0,901
10-33,0,SysselsatteArb,2011,2600,395,31,252,2475,0,942
10-33,0,SysselsatteArb,2012,2766,394,51,257,2408,3,974
10-33,0,SysselsatteArb,2013,2805,401,54,241,2367,0,1009
10-33,0,SysselsatteArb,2014,2682,408,54,220,2353,0,1050
10-33,0,SysselsatteArb,2015,2371,383,36,320,2302,0,1098
10-33,0,SysselsatteArb,2016,2196,345,43,390,2313,0,1035
10-33,0,SysselsatteArb,2017,2110,345,37,476,2426,0,985
10-33,0,SysselsatteArb,2018,2128,342,43,628,2419,0,828
10-33,0,SysselsatteArb,2019,2171,360,52,617,2476,0,887
10-33,0,SysselsatteArb,2020,2220,367,63,631,2470,0,887
35-39,0,SysselsatteArb,2008,267,113,0,51,120,0,94
35-39,0,SysselsatteArb,2009,286,121,0,54,101,0,88
35-39,0,SysselsatteArb,2010,313,120,0,60,102,0,80
35-39,0,SysselsatteArb,2011,325,124,0,67,105,0,76
35-39,0,SysselsatteArb,2012,335,138,0,61,107,0,74
35-39,0,SysselsatteArb,2013,343,125,0,60,128,0,129
35-39,0,SysselsatteArb,2014,348,127,0,61,112,0,86
35-39,0,SysselsatteArb,2015,347,123,0,31,105,0,43
35-39,0,SysselsatteArb,2016,375,131,0,31,110,0,65
35-39,0,SysselsatteArb,2017,379,127,0,28,109,0,92
35-39,0,SysselsatteArb,2018,372,129,0,25,114,0,76
35-39,0,SysselsatteArb,2019,416,126,0,23,123,0,101
35-39,0,SysselsatteArb,2020,425,140,0,NA,133,0,101
41-43,0,SysselsatteArb,2008,1263,176,11,346,1472,9,444
41-43,0,SysselsatteArb,2009,1296,180,8,385,1442,11,473
41-43,0,SysselsatteArb,2010,1226,177,7,394,1532,10,482
41-43,0,SysselsatteArb,2011,1273,179,8,663,1682,9,484
41-43,0,SysselsatteArb,2012,1211,190,8,480,1775,7,448
41-43,0,SysselsatteArb,2013,1340,195,11,466,1876,13,465
41-43,0,SysselsatteArb,2014,1294,195,11,450,1907,10,501
41-43,0,SysselsatteArb,2015,1240,197,16,469,1811,12,511
41-43,0,SysselsatteArb,2016,1179,207,13,467,1808,9,504
41-43,0,SysselsatteArb,2017,1197,219,13,485,1907,6,544
41-43,0,SysselsatteArb,2018,1252,210,12,500,1807,9,569
41-43,0,SysselsatteArb,2019,1081,198,9,549,1891,3,555
41-43,0,SysselsatteArb,2020,1002,206,9,510,1920,6,638
45-47,0,SysselsatteArb,2008,3945,183,12,362,2026,3,494
45-47,0,SysselsatteArb,2009,3810,189,13,363,1968,3,447
