Aar,NACE2007,SN2007,alder,ansatte,knavn
2008,00-99,Alle næringer,15-74 år,21322,Haugesund
2009,00-99,Alle næringer,15-74 år,21160,Haugesund
2010,00-99,Alle næringer,15-74 år,21233,Haugesund
2011,00-99,Alle næringer,15-74 år,21734,Haugesund
2012,00-99,Alle næringer,15-74 år,21986,Haugesund
2013,00-99,Alle næringer,15-74 år,22143,Haugesund
2014,00-99,Alle næringer,15-74 år,22190,Haugesund
2015,00-99,Alle næringer,15-74 år,21328,Haugesund
2016,00-99,Alle næringer,15-74 år,21056,Haugesund
2017,00-99,Alle næringer,15-74 år,21372,Haugesund
2018,00-99,Alle næringer,15-74 år,21346,Haugesund
2019,00-99,Alle næringer,15-74 år,21429,Haugesund
2020,00-99,Alle næringer,15-74 år,20852,Haugesund
2008,01-03,"Jordbruk, skogbruk og fiske",15-74 år,74,Haugesund
2009,01-03,"Jordbruk, skogbruk og fiske",15-74 år,67,Haugesund
2010,01-03,"Jordbruk, skogbruk og fiske",15-74 år,72,Haugesund
2011,01-03,"Jordbruk, skogbruk og fiske",15-74 år,66,Haugesund
2012,01-03,"Jordbruk, skogbruk og fiske",15-74 år,69,Haugesund
2013,01-03,"Jordbruk, skogbruk og fiske",15-74 år,71,Haugesund
2014,01-03,"Jordbruk, skogbruk og fiske",15-74 år,70,Haugesund
2015,01-03,"Jordbruk, skogbruk og fiske",15-74 år,80,Haugesund
2016,01-03,"Jordbruk, skogbruk og fiske",15-74 år,67,Haugesund
2017,01-03,"Jordbruk, skogbruk og fiske",15-74 år,70,Haugesund
2018,01-03,"Jordbruk, skogbruk og fiske",15-74 år,65,Haugesund
2019,01-03,"Jordbruk, skogbruk og fiske",15-74 år,89,Haugesund
2020,01-03,"Jordbruk, skogbruk og fiske",15-74 år,83,Haugesund
2008,05-09,Bergverksdrift og utvinning,15-74 år,452,Haugesund
2009,05-09,Bergverksdrift og utvinning,15-74 år,455,Haugesund
2010,05-09,Bergverksdrift og utvinning,15-74 år,318,Haugesund
2011,05-09,Bergverksdrift og utvinning,15-74 år,335,Haugesund
2012,05-09,Bergverksdrift og utvinning,15-74 år,379,Haugesund
2013,05-09,Bergverksdrift og utvinning,15-74 år,404,Haugesund
2014,05-09,Bergverksdrift og utvinning,15-74 år,416,Haugesund
2015,05-09,Bergverksdrift og utvinning,15-74 år,417,Haugesund
2016,05-09,Bergverksdrift og utvinning,15-74 år,369,Haugesund
2017,05-09,Bergverksdrift og utvinning,15-74 år,402,Haugesund
2018,05-09,Bergverksdrift og utvinning,15-74 år,655,Haugesund
2019,05-09,Bergverksdrift og utvinning,15-74 år,685,Haugesund
2020,05-09,Bergverksdrift og utvinning,15-74 år,694,Haugesund
2008,10-33,Industri,15-74 år,2572,Haugesund
2009,10-33,Industri,15-74 år,2570,Haugesund
2010,10-33,Industri,15-74 år,2486,Haugesund
2011,10-33,Industri,15-74 år,2600,Haugesund
2012,10-33,Industri,15-74 år,2766,Haugesund
2013,10-33,Industri,15-74 år,2805,Haugesund
2014,10-33,Industri,15-74 år,2682,Haugesund
2015,10-33,Industri,15-74 år,2371,Haugesund
2016,10-33,Industri,15-74 år,2196,Haugesund
2017,10-33,Industri,15-74 år,2110,Haugesund
2018,10-33,Industri,15-74 år,2128,Haugesund
2019,10-33,Industri,15-74 år,2171,Haugesund
2020,10-33,Industri,15-74 år,2220,Haugesund
2008,35-39,"Elektrisitet, vann og renovasjon",15-74 år,267,Haugesund
2009,35-39,"Elektrisitet, vann og renovasjon",15-74 år,286,Haugesund
2010,35-39,"Elektrisitet, vann og renovasjon",15-74 år,313,Haugesund
2011,35-39,"Elektrisitet, vann og renovasjon",15-74 år,325,Haugesund
2012,35-39,"Elektrisitet, vann og renovasjon",15-74 år,335,Haugesund
2013,35-39,"Elektrisitet, vann og renovasjon",15-74 år,343,Haugesund
2014,35-39,"Elektrisitet, vann og renovasjon",15-74 år,348,Haugesund
2015,35-39,"Elektrisitet, vann og renovasjon",15-74 år,347,Haugesund
2016,35-39,"Elektrisitet, vann og renovasjon",15-74 år,375,Haugesund
2017,35-39,"Elektrisitet, vann og renovasjon",15-74 år,379,Haugesund
2018,35-39,"Elektrisitet, vann og renovasjon",15-74 år,372,Haugesund
2019,35-39,"Elektrisitet, vann og renovasjon",15-74 år,416,Haugesund
