Aar,NACE2007,SN2007,alder,sysselsatte
2008,00-99,Alle næringer,15-74 år,2525000
2009,00-99,Alle næringer,15-74 år,2497001
2010,00-99,Alle næringer,15-74 år,2517001
2011,00-99,Alle næringer,15-74 år,2562000
2012,00-99,Alle næringer,15-74 år,2588999
2013,00-99,Alle næringer,15-74 år,2619000
2014,00-99,Alle næringer,15-74 år,2650000
2015,00-99,Alle næringer,15-74 år,2597065
2016,00-99,Alle næringer,15-74 år,2613653
2017,00-99,Alle næringer,15-74 år,2647298
2018,00-99,Alle næringer,15-74 år,2683448
2019,00-99,Alle næringer,15-74 år,2710435
2020,00-99,Alle næringer,15-74 år,2681547
2008,00-99,Alle næringer,55-66 år,443277
2009,00-99,Alle næringer,55-66 år,449146
2010,00-99,Alle næringer,55-66 år,455646
2011,00-99,Alle næringer,55-66 år,464700
2012,00-99,Alle næringer,55-66 år,474412
2013,00-99,Alle næringer,55-66 år,480776
2014,00-99,Alle næringer,55-66 år,487505
2015,00-99,Alle næringer,55-66 år,480919
2016,00-99,Alle næringer,55-66 år,484446
2017,00-99,Alle næringer,55-66 år,490855
2018,00-99,Alle næringer,55-66 år,499571
2019,00-99,Alle næringer,55-66 år,509244
2020,00-99,Alle næringer,55-66 år,512879
2008,00-99,Alle næringer,67-74 år,51351
2009,00-99,Alle næringer,67-74 år,54631
2010,00-99,Alle næringer,67-74 år,57743
2011,00-99,Alle næringer,67-74 år,62139
2012,00-99,Alle næringer,67-74 år,67981
2013,00-99,Alle næringer,67-74 år,74668
2014,00-99,Alle næringer,67-74 år,78659
2015,00-99,Alle næringer,67-74 år,74730
2016,00-99,Alle næringer,67-74 år,77479
2017,00-99,Alle næringer,67-74 år,79498
2018,00-99,Alle næringer,67-74 år,81105
2019,00-99,Alle næringer,67-74 år,82406
2020,00-99,Alle næringer,67-74 år,80286
2008,01-03,"Jordbruk, skogbruk og fiske",15-74 år,76821
2009,01-03,"Jordbruk, skogbruk og fiske",15-74 år,75205
2010,01-03,"Jordbruk, skogbruk og fiske",15-74 år,71822
2011,01-03,"Jordbruk, skogbruk og fiske",15-74 år,67727
2012,01-03,"Jordbruk, skogbruk og fiske",15-74 år,65446
2013,01-03,"Jordbruk, skogbruk og fiske",15-74 år,63820
2014,01-03,"Jordbruk, skogbruk og fiske",15-74 år,63508
2015,01-03,"Jordbruk, skogbruk og fiske",15-74 år,63362
2016,01-03,"Jordbruk, skogbruk og fiske",15-74 år,64006
2017,01-03,"Jordbruk, skogbruk og fiske",15-74 år,64243
2018,01-03,"Jordbruk, skogbruk og fiske",15-74 år,63273
2019,01-03,"Jordbruk, skogbruk og fiske",15-74 år,63102
2020,01-03,"Jordbruk, skogbruk og fiske",15-74 år,63723
2008,01-03,"Jordbruk, skogbruk og fiske",55-66 år,19720
2009,01-03,"Jordbruk, skogbruk og fiske",55-66 år,19360
2010,01-03,"Jordbruk, skogbruk og fiske",55-66 år,17959
2011,01-03,"Jordbruk, skogbruk og fiske",55-66 år,16793
2012,01-03,"Jordbruk, skogbruk og fiske",55-66 år,16658
2013,01-03,"Jordbruk, skogbruk og fiske",55-66 år,15753
2014,01-03,"Jordbruk, skogbruk og fiske",55-66 år,15314
2015,01-03,"Jordbruk, skogbruk og fiske",55-66 år,15822
2016,01-03,"Jordbruk, skogbruk og fiske",55-66 år,15770
2017,01-03,"Jordbruk, skogbruk og fiske",55-66 år,15707
2018,01-03,"Jordbruk, skogbruk og fiske",55-66 år,15395
2019,01-03,"Jordbruk, skogbruk og fiske",55-66 år,15332
2020,01-03,"Jordbruk, skogbruk og fiske",55-66 år,15378
2008,01-03,"Jordbruk, skogbruk og fiske",67-74 år,7806
2009,01-03,"Jordbruk, skogbruk og fiske",67-74 år,8025
2010,01-03,"Jordbruk, skogbruk og fiske",67-74 år,7288
2011,01-03,"Jordbruk, skogbruk og fiske",67-74 år,6962
2012,01-03,"Jordbruk, skogbruk og fiske",67-74 år,9239
2013,01-03,"Jordbruk, skogbruk og fiske",67-74 år,9580
2014,01-03,"Jordbruk, skogbruk og fiske",67-74 år,9847
2015,01-03,"Jordbruk, skogbruk og fiske",67-74 år,9433
2016,01-03,"Jordbruk, skogbruk og fiske",67-74 år,9705
2017,01-03,"Jordbruk, skogbruk og fiske",67-74 år,9785
2018,01-03,"Jordbruk, skogbruk og fiske",67-74 år,9352
2019,01-03,"Jordbruk, skogbruk og fiske",67-74 år,9177
2020,01-03,"Jordbruk, skogbruk og fiske",67-74 år,9443
2008,05-09,Bergverksdrift og utvinning,15-74 år,43265
2009,05-09,Bergverksdrift og utvinning,15-74 år,44521
2010,05-09,Bergverksdrift og utvinning,15-74 år,52726
2011,05-09,Bergverksdrift og utvinning,15-74 år,56181
2012,05-09,Bergverksdrift og utvinning,15-74 år,61974
2013,05-09,Bergverksdrift og utvinning,15-74 år,65295
2014,05-09,Bergverksdrift og utvinning,15-74 år,66674
2015,05-09,Bergverksdrift og utvinning,15-74 år,60036
2016,05-09,Bergverksdrift og utvinning,15-74 år,53003
2017,05-09,Bergverksdrift og utvinning,15-74 år,53191
2018,05-09,Bergverksdrift og utvinning,15-74 år,54360
2019,05-09,Bergverksdrift og utvinning,15-74 år,58757
2020,05-09,Bergverksdrift og utvinning,15-74 år,58755
2008,05-09,Bergverksdrift og utvinning,55-66 år,6313
2009,05-09,Bergverksdrift og utvinning,55-66 år,6125
2010,05-09,Bergverksdrift og utvinning,55-66 år,7763
2011,05-09,Bergverksdrift og utvinning,55-66 år,8612
2012,05-09,Bergverksdrift og utvinning,55-66 år,9710
2013,05-09,Bergverksdrift og utvinning,55-66 år,10470
2014,05-09,Bergverksdrift og utvinning,55-66 år,11326
2015,05-09,Bergverksdrift og utvinning,55-66 år,11007
2016,05-09,Bergverksdrift og utvinning,55-66 år,10717
2017,05-09,Bergverksdrift og utvinning,55-66 år,11253
2018,05-09,Bergverksdrift og utvinning,55-66 år,11878
2019,05-09,Bergverksdrift og utvinning,55-66 år,12851
2020,05-09,Bergverksdrift og utvinning,55-66 år,13448
2008,05-09,Bergverksdrift og utvinning,67-74 år,160
2009,05-09,Bergverksdrift og utvinning,67-74 år,197
2010,05-09,Bergverksdrift og utvinning,67-74 år,263
2011,05-09,Bergverksdrift og utvinning,67-74 år,331
2012,05-09,Bergverksdrift og utvinning,67-74 år,350
2013,05-09,Bergverksdrift og utvinning,67-74 år,399
2014,05-09,Bergverksdrift og utvinning,67-74 år,408
2015,05-09,Bergverksdrift og utvinning,67-74 år,289
2016,05-09,Bergverksdrift og utvinning,67-74 år,287
2017,05-09,Bergverksdrift og utvinning,67-74 år,314
2018,05-09,Bergverksdrift og utvinning,67-74 år,369
2019,05-09,Bergverksdrift og utvinning,67-74 år,488
2020,05-09,Bergverksdrift og utvinning,67-74 år,524
2008,10-33,Industri,15-74 år,255945
2009,10-33,Industri,15-74 år,239608
2010,10-33,Industri,15-74 år,227141
2011,10-33,Industri,15-74 år,229316
2012,10-33,Industri,15-74 år,229225
2013,10-33,Industri,15-74 år,230923
2014,10-33,Industri,15-74 år,231796
2015,10-33,Industri,15-74 år,215641
2016,10-33,Industri,15-74 år,208207
2017,10-33,Industri,15-74 år,207192
2018,10-33,Industri,15-74 år,208829
2019,10-33,Industri,15-74 år,210776
2020,10-33,Industri,15-74 år,206842
2008,10-33,Industri,55-66 år,45725
2009,10-33,Industri,55-66 år,44360
2010,10-33,Industri,55-66 år,42534
2011,10-33,Industri,55-66 år,43186
2012,10-33,Industri,55-66 år,44006
2013,10-33,Industri,55-66 år,44601
2014,10-33,Industri,55-66 år,45416
2015,10-33,Industri,55-66 år,43215
2016,10-33,Industri,55-66 år,42793
2017,10-33,Industri,55-66 år,43352
2018,10-33,Industri,55-66 år,44480
2019,10-33,Industri,55-66 år,45507
2020,10-33,Industri,55-66 år,46052
2008,10-33,Industri,67-74 år,3381
2009,10-33,Industri,67-74 år,3435
2010,10-33,Industri,67-74 år,3400
2011,10-33,Industri,67-74 år,3828
2012,10-33,Industri,67-74 år,4087
2013,10-33,Industri,67-74 år,4381
2014,10-33,Industri,67-74 år,4585
2015,10-33,Industri,67-74 år,3710
2016,10-33,Industri,67-74 år,3770
2017,10-33,Industri,67-74 år,4029
2018,10-33,Industri,67-74 år,4311
2019,10-33,Industri,67-74 år,4535
2020,10-33,Industri,67-74 år,4486
2008,35-39,"Elektrisitet, vann og renovasjon",15-74 år,25858
2009,35-39,"Elektrisitet, vann og renovasjon",15-74 år,26626
2010,35-39,"Elektrisitet, vann og renovasjon",15-74 år,27884
2011,35-39,"Elektrisitet, vann og renovasjon",15-74 år,28759
2012,35-39,"Elektrisitet, vann og renovasjon",15-74 år,28884
2013,35-39,"Elektrisitet, vann og renovasjon",15-74 år,29710
2014,35-39,"Elektrisitet, vann og renovasjon",15-74 år,29917
2015,35-39,"Elektrisitet, vann og renovasjon",15-74 år,29563
2016,35-39,"Elektrisitet, vann og renovasjon",15-74 år,30365
2017,35-39,"Elektrisitet, vann og renovasjon",15-74 år,30474
2018,35-39,"Elektrisitet, vann og renovasjon",15-74 år,31294
2019,35-39,"Elektrisitet, vann og renovasjon",15-74 år,32121
2020,35-39,"Elektrisitet, vann og renovasjon",15-74 år,32756
2008,35-39,"Elektrisitet, vann og renovasjon",55-66 år,5976
