Aar,NACE2007,SN2007,alder,ansatte
2008,00-99,Alle næringer,15-74 år,2525000
2009,00-99,Alle næringer,15-74 år,2496999
2010,00-99,Alle næringer,15-74 år,2516999
2011,00-99,Alle næringer,15-74 år,2562001
2012,00-99,Alle næringer,15-74 år,2589000
2013,00-99,Alle næringer,15-74 år,2619000
2014,00-99,Alle næringer,15-74 år,2650000
2015,00-99,Alle næringer,15-74 år,2597063
2016,00-99,Alle næringer,15-74 år,2613653
2017,00-99,Alle næringer,15-74 år,2647297
2018,00-99,Alle næringer,15-74 år,2683447
2019,00-99,Alle næringer,15-74 år,2710435
2020,00-99,Alle næringer,15-74 år,2681548
2008,01-03,"Jordbruk, skogbruk og fiske",15-74 år,76766
2009,01-03,"Jordbruk, skogbruk og fiske",15-74 år,75258
2010,01-03,"Jordbruk, skogbruk og fiske",15-74 år,71845
2011,01-03,"Jordbruk, skogbruk og fiske",15-74 år,67756
2012,01-03,"Jordbruk, skogbruk og fiske",15-74 år,65435
2013,01-03,"Jordbruk, skogbruk og fiske",15-74 år,63844
2014,01-03,"Jordbruk, skogbruk og fiske",15-74 år,63507
2015,01-03,"Jordbruk, skogbruk og fiske",15-74 år,63371
2016,01-03,"Jordbruk, skogbruk og fiske",15-74 år,63993
2017,01-03,"Jordbruk, skogbruk og fiske",15-74 år,64196
2018,01-03,"Jordbruk, skogbruk og fiske",15-74 år,63258
2019,01-03,"Jordbruk, skogbruk og fiske",15-74 år,63101
2020,01-03,"Jordbruk, skogbruk og fiske",15-74 år,63723
2008,05-09,Bergverksdrift og utvinning,15-74 år,43308
2009,05-09,Bergverksdrift og utvinning,15-74 år,44524
2010,05-09,Bergverksdrift og utvinning,15-74 år,52688
2011,05-09,Bergverksdrift og utvinning,15-74 år,56149
2012,05-09,Bergverksdrift og utvinning,15-74 år,61960
2013,05-09,Bergverksdrift og utvinning,15-74 år,65331
2014,05-09,Bergverksdrift og utvinning,15-74 år,66663
2015,05-09,Bergverksdrift og utvinning,15-74 år,60013
2016,05-09,Bergverksdrift og utvinning,15-74 år,52995
2017,05-09,Bergverksdrift og utvinning,15-74 år,53231
2018,05-09,Bergverksdrift og utvinning,15-74 år,54352
