Aar,Alle næringer_15-74 år,"Jordbruk, skogbruk og fiske_15-74 år",Bergverksdrift og utvinning_15-74 år,Industri_15-74 år,"Elektrisitet, vann og renovasjon_15-74 år",Bygge- og anleggsvirksomhet_15-74 år,"Varehandel, reparasjon av motorvogner_15-74 år",Transport og lagring_15-74 år,Overnattings- og serveringsvirksomhet_15-74 år,Informasjon og kommunikasjon_15-74 år,Finansiering og forsikring_15-74 år,"Teknisk tjenesteyting, eiendomsdrift_15-74 år",Forretningsmessig tjenesteyting_15-74 år,"Off.adm., forsvar, sosialforsikring_15-74 år",Undervisning_15-74 år,Helse- og sosialtjenester_15-74 år,Personlig tjenesteyting_15-74 år,Uoppgitt_15-74 år
2008,2525000,76766,43308,255935,25875,191173,375595,145922,81080,86924,50654,148078,129943,141301,194598,477671,88266,11911
2009,2496999,75258,44524,239574,26621,186390,364884,141314,78084,85362,49872,147256,119515,149012,196477,490131,91169,11556
2010,2516999,71845,52688,227221,27889,188443,364431,141456,79354,86525,49577,148662,120953,150914,200607,499678,92329,14427
2011,2562001,67756,56149,229318,28764,196656,365326,141065,82758,88243,49558,153890,128016,153882,203178,510229,94118,13095
2012,2589000,65435,61960,229219,28892,201867,363855,142436,83310,89898,48784,159073,133513,158032,203112,510771,94994,13849
2013,2619000,63844,65331,230921,29703,208281,363149,142477,85524,90763,48315,164140,132367,161028,205712,517264,96775,13406
2014,2650000,63507,66663,231821,29897,212541,364639,142517,89495,92287,47554,165816,133963,163564,208672,525391,98624,13049
2015,2597063,63371,60013,215650,29580,207611,348633,138139,85665,88378,46834,161996,120885,162510,209095,532273,99768,26662
2016,2613653,63993,52995,208203,30412,212915,349335,136958,89176,88342,45783,162148,125912,165000,213276,541324,102727,25154
2017,2647297,64196,53231,207180,30490,219998,350292,135384,92861,90212,45201,166283,131365,167118,217287,546862,105766,23571
2018,2683447,63258,54352,208825,31308,225943,350841,136387,94572,93809,45567,171324,135152,167874,220351,553143,108906,21835
2019,2710435,63101,58755,210775,32121,230156,347638,135785,96920,98871,46467,174697,133961,168297,223924,558016,110698,20253
2020,2681548,63723,58758,206844,32754,230246,343562,128645,80702,100975,47537,173249,126061,171734,225677,563029,108316,19736
