Naering,Kjonn,ContentsCode,Aar,4611_15-74,Etne,Sveio,Boemlo,Stord,Fitjar,Tysnes,Kvinnherad,Odda+Ullensvang,4614_15-74,4614_55-66,4614_67-74,4615_15-74,4615_55-66,4615_67-74,4616_15-74,4616_55-66,4616_67-74,4617_15-74,4617_55-66,4617_67-74,4618_15-74,4618_55-66,4618_67-74
00-99,0,SysselsatteArb,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-99,0,SysselsatteArb,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-99,0,SysselsatteArb,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-99,0,SysselsatteArb,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-99,0,SysselsatteArb,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-99,0,SysselsatteArb,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-99,0,SysselsatteArb,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-99,0,SysselsatteArb,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-99,0,SysselsatteArb,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-99,0,SysselsatteArb,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-99,0,SysselsatteArb,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-99,0,SysselsatteArb,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-99,0,SysselsatteArb,2020,1613,337,72,1494,267,74,4890,910,154,9301,1902,222,1085,216,46,1188,244,77,5808,1229,235,5291,1289,238
01-03,0,SysselsatteArb,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03,0,SysselsatteArb,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03,0,SysselsatteArb,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03,0,SysselsatteArb,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
