Aar,NACE2007,SN2007,alder,ansatte
2008,00-99,Alle næringer,15-74 år,21322
2009,00-99,Alle næringer,15-74 år,21160
2010,00-99,Alle næringer,15-74 år,21233
2011,00-99,Alle næringer,15-74 år,21734
2012,00-99,Alle næringer,15-74 år,21986
2013,00-99,Alle næringer,15-74 år,22143
2014,00-99,Alle næringer,15-74 år,22190
2015,00-99,Alle næringer,15-74 år,21328
2016,00-99,Alle næringer,15-74 år,21056
2017,00-99,Alle næringer,15-74 år,21372
2018,00-99,Alle næringer,15-74 år,21346
2019,00-99,Alle næringer,15-74 år,21429
2020,00-99,Alle næringer,15-74 år,20852
2008,01-03,"Jordbruk, skogbruk og fiske",15-74 år,74
2009,01-03,"Jordbruk, skogbruk og fiske",15-74 år,67
2010,01-03,"Jordbruk, skogbruk og fiske",15-74 år,72
2011,01-03,"Jordbruk, skogbruk og fiske",15-74 år,66
2012,01-03,"Jordbruk, skogbruk og fiske",15-74 år,69
2013,01-03,"Jordbruk, skogbruk og fiske",15-74 år,71
2014,01-03,"Jordbruk, skogbruk og fiske",15-74 år,70
2015,01-03,"Jordbruk, skogbruk og fiske",15-74 år,80
2016,01-03,"Jordbruk, skogbruk og fiske",15-74 år,67
2017,01-03,"Jordbruk, skogbruk og fiske",15-74 år,70
2018,01-03,"Jordbruk, skogbruk og fiske",15-74 år,65
2019,01-03,"Jordbruk, skogbruk og fiske",15-74 år,89
2020,01-03,"Jordbruk, skogbruk og fiske",15-74 år,83
2008,05-09,Bergverksdrift og utvinning,15-74 år,452
2009,05-09,Bergverksdrift og utvinning,15-74 år,455
2010,05-09,Bergverksdrift og utvinning,15-74 år,318
2011,05-09,Bergverksdrift og utvinning,15-74 år,335
2012,05-09,Bergverksdrift og utvinning,15-74 år,379
2013,05-09,Bergverksdrift og utvinning,15-74 år,404
2014,05-09,Bergverksdrift og utvinning,15-74 år,416
2015,05-09,Bergverksdrift og utvinning,15-74 år,417
2016,05-09,Bergverksdrift og utvinning,15-74 år,369
2017,05-09,Bergverksdrift og utvinning,15-74 år,402
2018,05-09,Bergverksdrift og utvinning,15-74 år,655
2019,05-09,Bergverksdrift og utvinning,15-74 år,685
2020,05-09,Bergverksdrift og utvinning,15-74 år,694
2008,10-33,Industri,15-74 år,2572
2009,10-33,Industri,15-74 år,2570
2010,10-33,Industri,15-74 år,2486
2011,10-33,Industri,15-74 år,2600
2012,10-33,Industri,15-74 år,2766
2013,10-33,Industri,15-74 år,2805
2014,10-33,Industri,15-74 år,2682
2015,10-33,Industri,15-74 år,2371
2016,10-33,Industri,15-74 år,2196
2017,10-33,Industri,15-74 år,2110
2018,10-33,Industri,15-74 år,2128
2019,10-33,Industri,15-74 år,2171
2020,10-33,Industri,15-74 år,2220
2008,35-39,"Elektrisitet, vann og renovasjon",15-74 år,267
2009,35-39,"Elektrisitet, vann og renovasjon",15-74 år,286
2010,35-39,"Elektrisitet, vann og renovasjon",15-74 år,313
2011,35-39,"Elektrisitet, vann og renovasjon",15-74 år,325
2012,35-39,"Elektrisitet, vann og renovasjon",15-74 år,335
2013,35-39,"Elektrisitet, vann og renovasjon",15-74 år,343
2014,35-39,"Elektrisitet, vann og renovasjon",15-74 år,348
2015,35-39,"Elektrisitet, vann og renovasjon",15-74 år,347
2016,35-39,"Elektrisitet, vann og renovasjon",15-74 år,375
2017,35-39,"Elektrisitet, vann og renovasjon",15-74 år,379
2018,35-39,"Elektrisitet, vann og renovasjon",15-74 år,372
2019,35-39,"Elektrisitet, vann og renovasjon",15-74 år,416
2020,35-39,"Elektrisitet, vann og renovasjon",15-74 år,425
2008,41-43,Bygge- og anleggsvirksomhet,15-74 år,1263
2009,41-43,Bygge- og anleggsvirksomhet,15-74 år,1296
2010,41-43,Bygge- og anleggsvirksomhet,15-74 år,1226
2011,41-43,Bygge- og anleggsvirksomhet,15-74 år,1273
2012,41-43,Bygge- og anleggsvirksomhet,15-74 år,1211
2013,41-43,Bygge- og anleggsvirksomhet,15-74 år,1340
2014,41-43,Bygge- og anleggsvirksomhet,15-74 år,1294
2015,41-43,Bygge- og anleggsvirksomhet,15-74 år,1240
2016,41-43,Bygge- og anleggsvirksomhet,15-74 år,1179
2017,41-43,Bygge- og anleggsvirksomhet,15-74 år,1197
2018,41-43,Bygge- og anleggsvirksomhet,15-74 år,1252
2019,41-43,Bygge- og anleggsvirksomhet,15-74 år,1081
2020,41-43,Bygge- og anleggsvirksomhet,15-74 år,1002
2008,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,3945
2009,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,3810
2010,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,3793
2011,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,3814
2012,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,3712
2013,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,3670
2014,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,3642
2015,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,3295
2016,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,3233
2017,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,3235
2018,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,3176
2019,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,3006
2020,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,2879
2008,49-53,Transport og lagring,15-74 år,1261
2009,49-53,Transport og lagring,15-74 år,1249
2010,49-53,Transport og lagring,15-74 år,1141
2011,49-53,Transport og lagring,15-74 år,1174
2012,49-53,Transport og lagring,15-74 år,1211
2013,49-53,Transport og lagring,15-74 år,1046
2014,49-53,Transport og lagring,15-74 år,1069
2015,49-53,Transport og lagring,15-74 år,1067
2016,49-53,Transport og lagring,15-74 år,1001
2017,49-53,Transport og lagring,15-74 år,996
2018,49-53,Transport og lagring,15-74 år,999
2019,49-53,Transport og lagring,15-74 år,993
2020,49-53,Transport og lagring,15-74 år,820
2008,55-56,Overnattings- og serveringsvirksomhet,15-74 år,863
2009,55-56,Overnattings- og serveringsvirksomhet,15-74 år,774
2010,55-56,Overnattings- og serveringsvirksomhet,15-74 år,838
2011,55-56,Overnattings- og serveringsvirksomhet,15-74 år,833
2012,55-56,Overnattings- og serveringsvirksomhet,15-74 år,871
2013,55-56,Overnattings- og serveringsvirksomhet,15-74 år,939
2014,55-56,Overnattings- og serveringsvirksomhet,15-74 år,965
2015,55-56,Overnattings- og serveringsvirksomhet,15-74 år,827
2016,55-56,Overnattings- og serveringsvirksomhet,15-74 år,908
2017,55-56,Overnattings- og serveringsvirksomhet,15-74 år,924
2018,55-56,Overnattings- og serveringsvirksomhet,15-74 år,880
2019,55-56,Overnattings- og serveringsvirksomhet,15-74 år,898
2020,55-56,Overnattings- og serveringsvirksomhet,15-74 år,751
2008,58-63,Informasjon og kommunikasjon,15-74 år,405
2009,58-63,Informasjon og kommunikasjon,15-74 år,400
2010,58-63,Informasjon og kommunikasjon,15-74 år,429
2011,58-63,Informasjon og kommunikasjon,15-74 år,439
2012,58-63,Informasjon og kommunikasjon,15-74 år,450
2013,58-63,Informasjon og kommunikasjon,15-74 år,458
2014,58-63,Informasjon og kommunikasjon,15-74 år,477
2015,58-63,Informasjon og kommunikasjon,15-74 år,463
2016,58-63,Informasjon og kommunikasjon,15-74 år,474
2017,58-63,Informasjon og kommunikasjon,15-74 år,483
2018,58-63,Informasjon og kommunikasjon,15-74 år,530
2019,58-63,Informasjon og kommunikasjon,15-74 år,577
2020,58-63,Informasjon og kommunikasjon,15-74 år,604
2008,64-66,Finansiering og forsikring,15-74 år,286
2009,64-66,Finansiering og forsikring,15-74 år,281
2010,64-66,Finansiering og forsikring,15-74 år,260
2011,64-66,Finansiering og forsikring,15-74 år,244
2012,64-66,Finansiering og forsikring,15-74 år,234
2013,64-66,Finansiering og forsikring,15-74 år,219
2014,64-66,Finansiering og forsikring,15-74 år,219
2015,64-66,Finansiering og forsikring,15-74 år,220
2016,64-66,Finansiering og forsikring,15-74 år,202
2017,64-66,Finansiering og forsikring,15-74 år,193
2018,64-66,Finansiering og forsikring,15-74 år,178
2019,64-66,Finansiering og forsikring,15-74 år,172
2020,64-66,Finansiering og forsikring,15-74 år,166
2008,68-75,"Teknisk tjenesteyting, eiendomsdrift",15-74 år,995
