Knr,Kjonn,Alder,ContentsCode,Aar,knavn,00-99,01-03,05-09,10-33,35-39,41-43,45-47,49-53,55-56,58-63,64-66,68-75,77-82,84,85,86-88,90-99,00
1106,0,15-74,SysselsatteArb,2008,1106,21322,74,452,2572,267,1263,3945,1261,863,405,286,995,1029,927,1422,4812,675,74
1106,0,15-74,SysselsatteArb,2009,1106,21160,67,455,2570,286,1296,3810,1249,774,400,281,1028,867,968,1535,4865,627,82
1106,0,15-74,SysselsatteArb,2010,1106,21233,72,318,2486,313,1226,3793,1141,838,429,260,1207,823,1022,1632,4952,628,93
1106,0,15-74,SysselsatteArb,2011,1106,21734,66,335,2600,325,1273,3814,1174,833,439,244,1239,886,1020,1637,5133,636,80
1106,0,15-74,SysselsatteArb,2012,1106,21986,69,379,2766,335,1211,3712,1211,871,450,234,1284,924,1068,1721,5040,630,81
1106,0,15-74,SysselsatteArb,2013,1106,22143,71,404,2805,343,1340,3670,1046,939,458,219,1372,890,1094,1709,5057,650,76
1106,0,15-74,SysselsatteArb,2014,1106,22190,70,416,2682,348,1294,3642,1069,965,477,219,1391,915,1152,1733,5096,646,75
1106,0,15-74,SysselsatteArb,2015,1106,21328,80,417,2371,347,1240,3295,1067,827,463,220,1384,678,1080,1680,5395,658,126
1106,0,15-74,SysselsatteArb,2016,1106,21056,67,369,2196,375,1179,3233,1001,908,474,202,1332,613,1121,1764,5416,683,123
1106,0,15-74,SysselsatteArb,2017,1106,21372,70,402,2110,379,1197,3235,996,924,483,193,1369,752,1114,1771,5513,740,124
1106,0,15-74,SysselsatteArb,2018,1106,21346,65,655,2128,372,1252,3176,999,880,530,178,1202,647,1122,1743,5567,716,114
1106,0,15-74,SysselsatteArb,2019,1106,21429,89,685,2171,416,1081,3006,993,898,577,172,1173,765,1276,1716,5608,703,100
1106,0,15-74,SysselsatteArb,2020,1106,20852,83,694,2220,425,1002,2879,820,751,604,166,1098,717,1157,1720,5713,713,90
1106,0,55-66,SysselsatteArb,2008,1106,3574,15,24,406,69,162,492,281,61,69,115,202,124,216,369,855,93,21
1106,0,55-66,SysselsatteArb,2009,1106,3584,15,24,400,71,166,487,277,63,69,107,205,120,200,382,887,92,19
1106,0,55-66,SysselsatteArb,2010,1106,3694,14,23,392,71,168,487,280,64,75,101,237,124,205,404,946,83,20
1106,0,55-66,SysselsatteArb,2011,1106,3779,12,29,392,71,161,490,299,62,69,95,251,133,211,406,990,87,21
1106,0,55-66,SysselsatteArb,2012,1106,3897,15,32,383,71,172,500,304,68,63,102,255,135,214,425,1038,96,24
1106,0,55-66,SysselsatteArb,2013,1106,3888,11,28,390,65,183,502,249,69,66,94,262,121,226,406,1097,100,19
1106,0,55-66,SysselsatteArb,2014,1106,3939,16,34,395,61,196,506,244,69,69,97,250,118,239,418,1110,98,19
1106,0,55-66,SysselsatteArb,2015,1106,3898,16,35,355,76,199,449,251,63,65,92,252,107,246,404,1158,91,39
1106,0,55-66,SysselsatteArb,2016,1106,3867,12,40,316,86,204,459,229,64,66,83,236,102,254,425,1144,111,36
1106,0,55-66,SysselsatteArb,2017,1106,3900,15,45,327,91,207,464,228,73,78,76,236,115,235,413,1156,110,31
1106,0,55-66,SysselsatteArb,2018,1106,3854,16,74,355,92,200,475,215,68,72,70,217,103,230,397,1131,107,32
1106,0,55-66,SysselsatteArb,2019,1106,3844,16,81,387,100,185,445,216,69,84,60,211,113,247,380,1117,106,27
1106,0,55-66,SysselsatteArb,2020,1106,3750,14,86,409,96,174,426,163,58,83,56,204,105,232,376,1137,113,18
1106,0,67-74,SysselsatteArb,2008,1106,321,5,0,22,0,22,36,32,3,4,6,11,13,12,38,87,19,11
1106,0,67-74,SysselsatteArb,2009,1106,350,6,0,19,3,19,51,31,6,7,3,19,12,6,41,95,20,12
1106,0,67-74,SysselsatteArb,2010,1106,369,8,3,18,5,21,57,36,9,6,3,21,10,26,44,76,16,10
1106,0,67-74,SysselsatteArb,2011,1106,404,9,0,24,6,23,58,49,9,6,3,31,4,27,44,87,16,8
1106,0,67-74,SysselsatteArb,2012,1106,423,10,0,20,6,24,67,52,11,6,3,34,12,27,48,85,18,0
1106,0,67-74,SysselsatteArb,2013,1106,460,11,3,16,5,27,67,63,10,5,3,46,12,20,57,87,19,9
1106,0,67-74,SysselsatteArb,2014,1106,468,13,0,21,3,26,73,64,6,3,0,49,14,18,71,75,22,10
1106,0,67-74,SysselsatteArb,2015,1106,420,10,0,18,3,23,52,56,9,3,0,33,12,10,38,113,18,22
1106,0,67-74,SysselsatteArb,2016,1106,440,9,0,12,3,24,57,48,8,3,7,45,8,18,39,120,18,21
1106,0,67-74,SysselsatteArb,2017,1106,483,8,0,18,4,22,63,53,8,3,8,59,4,14,41,125,26,27
1106,0,67-74,SysselsatteArb,2018,1106,476,5,0,13,6,20,56,52,7,4,5,61,10,15,44,131,26,21
1106,0,67-74,SysselsatteArb,2019,1106,475,6,0,8,6,25,50,48,9,7,0,65,13,14,46,128,30,20
1106,0,67-74,SysselsatteArb,2020,1106,433,6,6,17,7,20,42,21,6,8,3,49,13,13,41,130,25,26
1135,0,15-74,SysselsatteArb,2008,1135,2136,36,0,468,113,176,183,82,50,18,20,31,89,83,209,522,46,10
1135,0,15-74,SysselsatteArb,2009,1135,2176,43,0,429,121,180,189,82,52,18,11,30,75,94,224,544,75,9
1135,0,15-74,SysselsatteArb,2010,1135,2180,36,0,414,120,177,205,85,59,14,15,35,77,95,232,546,52,18
1135,0,15-74,SysselsatteArb,2011,1135,2131,36,0,395,124,179,189,93,56,14,17,30,76,105,231,518,56,12
1135,0,15-74,SysselsatteArb,2012,1135,2100,39,0,394,138,190,202,90,41,14,13,28,84,95,222,474,65,11
1135,0,15-74,SysselsatteArb,2013,1135,2048,36,0,401,125,195,182,70,46,18,12,32,75,93,214,469,69,11
1135,0,15-74,SysselsatteArb,2014,1135,2073,33,0,408,127,195,173,66,42,21,3,37,97,89,225,510,37,10
1135,0,15-74,SysselsatteArb,2015,1135,1977,25,0,383,123,197,170,64,48,24,3,31,63,89,216,470,43,28
1135,0,15-74,SysselsatteArb,2016,1135,1951,26,0,345,131,207,168,67,44,11,6,31,61,96,221,470,46,21
1135,0,15-74,SysselsatteArb,2017,1135,1956,21,0,345,127,219,164,77,55,12,3,24,65,94,201,480,46,23
1135,0,15-74,SysselsatteArb,2018,1135,1937,28,0,342,129,210,171,69,57,12,3,28,68,88,209,452,55,16
1135,0,15-74,SysselsatteArb,2019,1135,1945,30,0,360,126,198,158,70,59,15,3,29,67,86,208,466,55,15
