Naering,Kjonn,ContentsCode,Aar,Haugesund_15-74,Haugesund,Sauda,Bokn,Tysvaer,Karmoy,Utsira,Vindafjord,Bokn_67-74,Tysvaer_15-74,Tysvaer_55-66,Tysvaer_67-74,Karmoy_15-74,Karmoy_55-66,KArmoy_67-74,Utsira_15-74,Utsira_55-66,Utsira_67-74,Vindafjord_15-74,Vindafjord_55-66,Vindafjord_67-74
00-99,0,Sysselsatte,2008,17611,2852,274,2430,444,42,412,82,0,5193,843,108,20182,3248,301,124,22,6,4415,790,112
00-99,0,Sysselsatte,2009,17294,2857,288,2430,442,50,407,81,6,5145,844,132,19767,3253,323,115,32,3,4390,777,129
00-99,0,Sysselsatte,2010,17460,2970,276,2416,468,40,420,76,6,5219,831,125,19754,3288,340,120,26,0,4404,827,114
00-99,0,Sysselsatte,2011,17901,3042,323,2419,483,53,428,71,8,5574,861,127,20028,3345,369,126,29,3,4559,859,126
00-99,0,Sysselsatte,2012,18178,3110,333,2384,484,40,425,78,8,5470,884,163,20304,3453,392,116,26,0,4582,854,134
00-99,0,Sysselsatte,2013,18337,3175,355,2364,508,50,439,79,10,5482,912,163,20572,3530,412,119,20,9,4627,885,157
00-99,0,Sysselsatte,2014,18609,3219,370,2391,531,43,434,79,20,5591,917,170,20714,3598,434,116,24,9,4723,904,162
00-99,0,Sysselsatte,2015,17855,3188,329,2267,522,46,424,90,13,5412,922,151,19862,3491,430,110,24,6,4622,930,145
00-99,0,Sysselsatte,2016,17806,3191,360,2229,520,41,427,92,18,5409,920,153,19754,3494,415,106,22,9,4565,940,167
00-99,0,Sysselsatte,2017,18117,3243,386,2239,519,42,424,88,24,5437,949,160,20047,3504,428,107,37,12,4605,940,187
00-99,0,Sysselsatte,2018,18295,3301,392,2226,504,50,425,82,15,5444,945,150,20074,3470,451,101,23,6,4649,967,183
00-99,0,Sysselsatte,2019,18448,3302,394,2234,513,47,443,89,19,5550,983,157,20247,3593,445,107,29,9,4641,975,176
00-99,0,Sysselsatte,2020,18137,3300,386,2212,514,42,439,89,17,5503,1003,131,20063,3617,410,102,31,3,4583,1000,174
01-03,0,Sysselsatte,2008,130,21,8,62,13,3,57,14,0,349,82,43,518,122,59,9,0,3,523,128,45
01-03,0,Sysselsatte,2009,114,19,6,59,14,3,61,14,3,348,78,49,514,114,58,6,0,3,516,109,54
01-03,0,Sysselsatte,2010,122,17,8,54,13,3,63,8,6,337,74,38,499,96,64,6,0,0,494,111,46
01-03,0,Sysselsatte,2011,124,17,11,57,6,11,72,9,5,314,72,37,441,98,51,9,3,0,507,110,50
01-03,0,Sysselsatte,2012,125,19,12,49,9,9,63,5,8,292,69,47,428,85,62,6,0,0,447,87,60
01-03,0,Sysselsatte,2013,115,15,10,47,6,11,55,4,7,274,57,45,399,90,58,6,0,0,448,84,61
01-03,0,Sysselsatte,2014,120,18,14,49,6,9,55,6,7,261,48,41,391,90,53,6,3,0,429,79,54
01-03,0,Sysselsatte,2015,122,17,10,45,4,6,61,8,10,280,53,35,385,90,56,10,4,0,458,89,49
01-03,0,Sysselsatte,2016,110,15,9,45,8,3,68,7,12,286,55,42,406,81,55,10,0,0,465,88,54
01-03,0,Sysselsatte,2017,123,16,13,32,3,4,79,10,11,269,49,39,392,84,56,9,0,3,476,82,58
01-03,0,Sysselsatte,2018,107,17,8,39,7,4,73,8,8,255,44,33,396,87,48,9,3,0,456,92,54
01-03,0,Sysselsatte,2019,110,15,8,37,6,5,75,9,7,256,43,36,407,94,43,9,3,0,421,84,49
01-03,0,Sysselsatte,2020,120,16,8,40,8,5,67,11,4,273,49,36,384,88,55,9,3,3,440,90,52
05-09,0,Sysselsatte,2008,859,127,0,98,10,0,30,4,0,401,49,0,1113,141,3,0,0,0,174,17,0
05-09,0,Sysselsatte,2009,881,107,0,101,12,0,31,6,0,402,43,0,1139,125,0,0,0,0,177,20,0
05-09,0,Sysselsatte,2010,952,135,0,112,12,0,36,3,0,440,47,0,1252,156,3,3,0,0,208,30,0
05-09,0,Sysselsatte,2011,1003,142,4,119,14,0,39,3,0,460,54,0,1310,183,0,6,0,0,204,33,0
05-09,0,Sysselsatte,2012,1117,154,5,136,16,0,42,5,0,495,59,0,1402,201,3,6,0,0,219,35,0
05-09,0,Sysselsatte,2013,1121,167,3,139,20,0,46,5,0,505,68,0,1484,213,5,6,0,0,207,35,0
05-09,0,Sysselsatte,2014,1112,182,0,132,24,0,45,4,0,521,74,0,1522,227,6,3,0,0,202,31,0
05-09,0,Sysselsatte,2015,1028,181,0,121,25,0,42,4,0,498,76,0,1370,222,3,3,0,0,193,34,0
05-09,0,Sysselsatte,2016,943,185,0,107,27,0,41,8,0,468,85,0,1219,223,3,3,0,0,179,36,0
05-09,0,Sysselsatte,2017,944,193,0,118,31,0,36,4,0,457,83,0,1235,236,0,3,3,0,185,36,0
05-09,0,Sysselsatte,2018,1094,241,0,122,29,0,39,4,0,501,91,0,1352,259,3,6,3,0,200,42,0
05-09,0,Sysselsatte,2019,1141,258,3,140,30,3,40,5,3,528,93,3,1448,273,0,6,3,0,213,43,0
05-09,0,Sysselsatte,2020,1130,265,4,138,32,0,36,4,0,530,97,5,1437,282,3,6,3,0,224,50,0
10-33,0,Sysselsatte,2008,2289,354,27,519,108,3,48,9,0,582,64,11,3694,577,30,6,0,0,660,98,7
10-33,0,Sysselsatte,2009,2086,338,24,460,105,3,39,8,0,562,69,7,3221,543,31,6,0,0,664,97,11
10-33,0,Sysselsatte,2010,1885,301,13,440,112,0,36,4,0,513,64,7,2882,511,38,0,0,0,692,106,13
10-33,0,Sysselsatte,2011,1936,294,21,423,115,6,39,8,0,550,73,7,2826,505,40,0,0,0,724,120,9
10-33,0,Sysselsatte,2012,1999,284,25,422,119,3,39,5,0,553,73,14,2835,516,33,0,0,0,741,125,6
10-33,0,Sysselsatte,2013,2018,297,20,431,117,3,44,11,0,558,72,12,2811,499,30,0,0,0,765,128,10
10-33,0,Sysselsatte,2014,1983,291,20,434,120,3,46,7,0,569,72,11,2812,495,30,0,0,0,794,139,11
10-33,0,Sysselsatte,2015,1809,269,18,405,120,0,42,8,0,530,72,9,2652,460,30,0,0,0,862,157,13
10-33,0,Sysselsatte,2016,1744,274,14,370,117,3,40,8,0,533,71,5,2619,457,28,0,0,0,821,167,15
10-33,0,Sysselsatte,2017,1765,287,18,357,114,0,39,7,0,522,68,5,2683,467,28,0,0,0,787,160,13
10-33,0,Sysselsatte,2018,1776,306,17,358,111,6,45,8,0,533,69,7,2689,484,25,0,0,0,760,164,10
10-33,0,Sysselsatte,2019,1884,330,19,370,108,4,47,8,0,539,78,6,2724,508,30,0,0,0,779,163,17
10-33,0,Sysselsatte,2020,1905,341,23,365,110,4,56,10,0,547,99,3,2725,516,23,0,0,0,707,152,10
35-39,0,Sysselsatte,2008,183,36,0,101,23,0,3,0,0,60,17,0,202,41,3,0,0,0,54,10,0
35-39,0,Sysselsatte,2009,174,39,3,109,26,0,0,0,0,67,17,0,202,47,0,0,0,0,60,11,3
35-39,0,Sysselsatte,2010,182,38,3,102,26,0,3,0,0,72,16,0,214,41,0,0,0,0,74,15,0
35-39,0,Sysselsatte,2011,186,40,3,105,28,3,3,0,0,79,17,0,228,43,8,0,0,0,72,14,0
35-39,0,Sysselsatte,2012,186,40,0,119,33,0,3,0,0,73,17,0,221,44,3,0,0,0,73,15,0
35-39,0,Sysselsatte,2013,195,36,0,108,35,3,0,0,0,72,9,3,233,44,4,0,0,0,84,16,0
35-39,0,Sysselsatte,2014,211,33,3,111,40,0,0,0,0,73,8,0,225,51,0,0,0,0,59,16,0
35-39,0,Sysselsatte,2015,190,38,0,103,34,0,0,0,0,68,10,0,217,51,0,0,0,0,62,18,0
35-39,0,Sysselsatte,2016,183,41,3,109,36,0,3,0,0,67,14,0,219,45,0,0,0,0,68,19,3
