Aar,Alle næringer_15-74 år,Alle næringer_55-66 år,Alle næringer_67-74 år,"Jordbruk, skogbruk og fiske_15-74 år","Jordbruk, skogbruk og fiske_55-66 år","Jordbruk, skogbruk og fiske_67-74 år",Bergverksdrift og utvinning_15-74 år,Bergverksdrift og utvinning_55-66 år,Bergverksdrift og utvinning_67-74 år,Industri_15-74 år,Industri_55-66 år,Industri_67-74 år,"Elektrisitet, vann og renovasjon_15-74 år","Elektrisitet, vann og renovasjon_55-66 år","Elektrisitet, vann og renovasjon_67-74 år",Bygge- og anleggsvirksomhet_15-74 år,Bygge- og anleggsvirksomhet_55-66 år,Bygge- og anleggsvirksomhet_67-74 år,"Varehandel, reparasjon av motorvogner_15-74 år","Varehandel, reparasjon av motorvogner_55-66 år","Varehandel, reparasjon av motorvogner_67-74 år",Transport og lagring_15-74 år,Transport og lagring_55-66 år,Transport og lagring_67-74 år,Overnattings- og serveringsvirksomhet_15-74 år,Overnattings- og serveringsvirksomhet_55-66 år,Overnattings- og serveringsvirksomhet_67-74 år,Informasjon og kommunikasjon_15-74 år,Informasjon og kommunikasjon_55-66 år,Informasjon og kommunikasjon_67-74 år,Finansiering og forsikring_15-74 år,Finansiering og forsikring_55-66 år,Finansiering og forsikring_67-74 år,"Teknisk tjenesteyting, eiendomsdrift_15-74 år","Teknisk tjenesteyting, eiendomsdrift_55-66 år","Teknisk tjenesteyting, eiendomsdrift_67-74 år",Forretningsmessig tjenesteyting_15-74 år,Forretningsmessig tjenesteyting_55-66 år,Forretningsmessig tjenesteyting_67-74 år,"Off.adm., forsvar, sosialforsikring_15-74 år","Off.adm., forsvar, sosialforsikring_55-66 år","Off.adm., forsvar, sosialforsikring_67-74 år",Undervisning_15-74 år,Undervisning_55-66 år,Undervisning_67-74 år,Helse- og sosialtjenester_15-74 år,Helse- og sosialtjenester_55-66 år,Helse- og sosialtjenester_67-74 år,Personlig tjenesteyting_15-74 år,Personlig tjenesteyting_55-66 år,Personlig tjenesteyting_67-74 år,Uoppgitt_15-74 år,Uoppgitt_55-66 år,Uoppgitt_67-74 år
2008,2525000,443277,51351,76821,19720,7806,43265,6313,160,255945,45725,3381,25858,5976,332,191147,27590,3370,375602,50083,5582,145973,28908,2830,81056,6114,885,86913,10510,728,50648,10449,402,148059,27689,5218,130018,15766,1770,141252,32160,1974,194595,49675,4530,477707,87042,8097,88280,16045,2758,11861,3512,1528
2009,2497001,449146,54631,75205,19360,8025,44521,6125,197,239608,44360,3435,26626,6178,416,186377,28049,3517,364893,49357,6007,141337,28904,3097,78064,6109,930,85327,10741,791,49863,10489,452,147268,28574,5623,119517,15931,1778,148997,33192,2174,196482,50173,4628,490091,91252,8777,91216,16700,3028,11609,3652,1756
2010,2517001,455646,57743,71822,17959,7288,52726,7763,263,227141,42534,3400,27884,6374,500,188530,28498,3629,364385,48767,6242,141458,29235,3450,79373,6044,958,86514,11144,900,49592,10451,480,148668,28909,6022,120929,15980,1855,150926,34178,2611,200649,50989,5451,499678,95722,9547,92327,16705,3229,14399,4394,1918
2011,2562000,464700,62139,67727,16793,6962,56181,8612,331,229316,43186,3828,28759,6557,563,196672,29457,3881,365297,48387,6797,141028,29628,3928,82780,6172,1015,88249,11218,964,49563,10422,471,153879,29634,6592,128063,16730,2081,153866,35406,3091,203164,51281,5883,510242,100233,10431,94135,16974,3703,13079,4010,1618
2012,2588999,474412,67981,65446,16658,9239,61974,9710,350,229225,44006,4087,28884,6698,583,201869,30602,4342,363864,48512,7533,142411,30682,4517,83339,6293,1088,89862,11640,1128,48778,10520,460,159045,30800,7449,133543,17627,2426,158019,35283,2841,203140,50935,5044,510780,102725,10357,95013,17549,3805,13807,4172,2732
2013,2619000,480776,74668,63820,15753,9580,65295,10470,399,230923,44601,4381,29710,6943,649,208336,31834,5027,363143,48413,8118,142428,31001,5094,85560,6446,1150,90748,11893,1266,48310,10826,493,164148,31407,8499,132363,17741,2667,161024,36138,3198,205739,50667,5646,517266,105057,11357,96777,17659,4259,13410,3927,2885
2014,2650000,487505,78659,63508,15314,9847,66674,11326,408,231796,45416,4585,29917,7092,707,212565,33041,5528,364628,48577,8262,142525,31389,5567,89501,6641,1217,92268,12371,1230,47581,10674,511,165762,31676,9159,133958,18275,2688,163622,36286,3404,208609,50401,6208,525388,107523,11907,98656,17821,4508,13042,3682,2923
2015,2597065,480919,74730,63362,15822,9433,60036,11007,289,215641,43215,3710,29563,7115,521,207626,32508,4840,348665,46379,6778,138099,30690,5034,85652,6135,1062,88398,11646,896,46828,10299,303,162007,30680,8025,120878,17544,2247,162497,36265,3029,209124,49088,4946,532317,107698,12485,99732,17322,3968,26640,7506,7164
2016,2613653,484446,77479,64006,15770,9705,53003,10717,287,208207,42793,3770,30365,7404,534,212962,33533,5207,349338,46624,6926,136962,31221,5229,89159,6247,1117,88381,11847,947,45751,10270,345,162173,30720,8621,125893,18186,2301,164962,36779,3084,213260,48493,5107,541367,109180,13189,102724,17686,4116,25140,6976,6994
2017,2647298,490855,79498,64243,15707,9785,53191,11253,314,207192,43352,4029,30474,7518,561,220042,34795,5504,350283,47075,7017,135422,31623,5458,92837,6485,1115,90231,12198,1083,45173,10266,389,166248,31252,8902,131366,19262,2415,167163,37285,3103,217278,47957,5136,546855,110241,13531,105805,18048,4499,23495,6538,6657
2018,2683448,499571,81105,63273,15395,9352,54360,11878,369,208829,44480,4311,31294,7771,601,225954,36137,5853,350831,48346,7058,136390,32325,5784,94535,6867,1101,93830,12662,1209,45582,10621,415,171296,32230,9082,135173,20440,2510,167902,37949,3051,220324,47275,5224,553158,110529,14118,108869,18722,4727,21848,5944,6340
2019,2710435,509244,82406,63102,15332,9177,58757,12851,488,210776,45507,4535,32121,8100,642,230154,37631,6147,347635,49286,6957,135787,32926,6033,96923,7130,1140,98871,13376,1360,46466,11039,436,174695,33202,9300,133962,20910,2659,168294,38503,3085,223923,47230,5241,558015,111392,14455,110700,19246,5013,20254,5583,5738
