"","Naering","Kjonn","Alder","ContentsCode","Aar","Etne","Sveio","Boemlo","Stord","Fitjar","Tysnes","Kvinnherad","Odda_og_Ullensvang","tot_S"
"1","00-99",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"2","00-99",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"3","00-99",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"4","00-99",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"5","00-99",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"6","00-99",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"7","00-99",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"8","00-99",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"9","00-99",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
"10","00-99",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
"11","00-99",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"12","00-99",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"13","00-99",0,"15-74","SysselsatteArb",2020,1613,1494,4890,9301,1085,1188,5808,5291,30670
"14","01-03",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"15","01-03",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"16","01-03",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"17","01-03",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"18","01-03",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"19","01-03",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"20","01-03",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"21","01-03",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"22","01-03",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
"23","01-03",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
