"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord (1965-2005)_1154","Ølen (2002-2005)_1159","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",10148,5,24,595,1705,4,70,65,7,95,24,79,4,2,7,8,1,12843,2695,20.98,17117,6969,40.71,10148,79.02
"2","Sauda_1135",57,1898,0,3,5,0,7,2,5,0,0,1,0,0,1,2,1,1982,84,4.24,1921,23,1.2,1898,95.76
"3","Bokn_1145",33,0,235,44,8,1,3,1,0,0,1,0,0,0,0,0,0,326,91,27.91,309,74,23.95,235,72.09
"4","Tysvær_1146",1320,0,26,2138,319,0,95,42,5,20,1,15,0,0,0,2,0,3983,1845,46.32,3377,1239,36.69,2138,53.68
"5","Karmøy_1149",4179,3,18,348,10518,7,32,26,12,23,36,42,3,0,5,6,0,15258,4740,31.07,12824,2306,17.98,10518,68.93
"6","Utsira_1151",5,0,0,0,1,102,0,0,0,1,0,0,0,0,0,0,0,109,7,6.42,115,13,11.3,102,93.58
"7","Vindafjord (1965-2005)_1154",224,12,2,98,49,0,1581,221,24,5,1,17,0,0,1,1,0,2236,655,29.29,2010,429,21.34,1581,70.71
"8","Ølen (2002-2005)_1159",116,2,0,29,18,0,144,1010,101,0,0,16,2,0,4,2,1,1445,435,30.1,1622,612,37.73,1010,69.9
"9","Etne (-2019)_1211",49,0,0,22,12,0,66,198,1286,1,3,35,0,0,20,24,2,1718,432,25.15,1472,186,12.64,1286,74.85
"10","Sveio (-2019)_1216",736,1,4,85,112,0,10,16,4,915,14,81,1,0,5,3,1,1988,1073,53.97,1078,163,15.12,915,46.03
"11","Bømlo (1916-2019)_1219",90,0,0,6,30,1,2,6,2,14,4092,374,22,0,4,0,0,4643,551,11.87,4310,218,5.06,4092,88.13
"12","Stord (-2019)_1221",80,0,0,4,12,0,0,15,3,2,117,6686,155,14,40,3,1,7132,446,6.25,8077,1391,17.22,6686,93.75
"13","Fitjar (-2019)_1222",9,0,0,2,2,0,0,3,0,0,12,435,817,3,2,0,0,1285,468,36.42,1060,243,22.92,817,63.58
"14","Tysnes (-2019)_1223",1,0,0,0,2,0,0,2,0,1,2,70,11,919,21,0,0,1029,110,10.69,948,29,3.06,919,89.31
"15","Kvinnherad (-2019)_1224",38,0,0,2,26,0,0,13,16,0,7,214,45,10,5332,12,3,5718,386,6.75,5474,142,2.59,5332,93.25
"16","Odda (1913-2019)_1228",26,0,0,1,2,0,0,0,5,1,0,9,0,0,27,3173,39,3283,110,3.35,3578,405,11.32,3173,96.65
"17","Ullensvang (1977-2019)_1231",6,0,0,0,3,0,0,2,2,0,0,3,0,0,5,342,1203,1566,363,23.18,1252,49,3.91,1203,76.82
