"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord_1160","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",11760,18,22,777,2048,1,173,23,131,27,124,2,4,7,7,2,15126,3366,22.25,20040,8280,41.32,11760,77.75
"2","Sauda_1135",51,1978,0,5,9,0,22,2,0,2,4,0,0,1,3,0,2077,99,4.77,2020,42,2.08,1978,95.23
"3","Bokn_1145",51,0,208,59,14,0,3,0,2,1,2,0,0,0,1,0,341,133,39,279,71,25.45,208,61
"4","Tysvær_1146",1520,4,26,2274,448,0,139,11,22,6,27,1,0,2,2,0,4482,2208,49.26,3923,1649,42.03,2274,50.74
"5","Karmøy_1149",5015,0,13,516,11771,3,102,7,41,18,80,0,3,6,6,1,17582,5811,33.05,14670,2899,19.76,11771,66.95
"6","Utsira_1151",7,0,0,0,3,97,0,0,0,0,0,0,0,0,0,0,107,10,9.35,101,4,3.96,97,90.65
"7","Vindafjord_1160",330,16,3,146,87,0,2970,114,10,3,25,0,1,5,2,0,3712,742,19.99,3788,818,21.59,2970,80.01
"8","Etne (-2019)_1211",79,0,0,20,16,0,304,1353,1,1,28,0,0,18,23,1,1844,491,26.63,1551,198,12.77,1353,73.37
"9","Sveio (-2019)_1216",844,0,5,101,133,0,33,4,1016,21,100,2,0,3,0,0,2262,1246,55.08,1285,269,20.93,1016,44.92
"10","Bømlo (1916-2019)_1219",109,1,1,5,70,0,5,3,26,4229,517,14,4,5,0,1,4990,761,15.25,4499,270,6,4229,84.75
"11","Stord (-2019)_1221",180,0,0,14,22,0,13,8,22,151,7316,195,12,54,3,1,7991,675,8.45,8982,1666,18.55,7316,91.55
"12","Fitjar (-2019)_1222",20,0,0,1,3,0,3,0,2,16,449,885,2,6,1,0,1388,503,36.24,1107,222,20.05,885,63.76
"13","Tysnes (-2019)_1223",5,0,0,0,7,0,1,1,0,5,84,2,911,22,1,0,1039,128,12.32,952,41,4.31,911,87.68
"14","Kvinnherad (-2019)_1224",36,2,1,2,37,0,12,18,2,14,208,6,15,5488,42,6,5889,401,6.81,5641,153,2.71,5488,93.19
"15","Odda (1913-2019)_1228",24,1,0,2,1,0,6,7,10,3,12,0,0,18,3085,54,3223,138,4.28,3550,465,13.1,3085,95.72
"16","Ullensvang (1977-2019)_1231",9,0,0,1,1,0,2,0,0,2,6,0,0,6,374,1178,1579,401,25.4,1244,66,5.31,1178,74.6
