"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord (1965-2005)_1154","Ølen (2002-2005)_1159","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Tot_arb_komm","Ut_pendlere","Andel_ut_pendlere","Inn_pendlere","Andel_inn_pendlere","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",10157,5,15,593,1664,4,61,60,11,97,15,84,1,1,10,13,2,12793,16817,2636,20.61,6660,39.6,10157,79.39
"2","Sauda_1135",60,1952,0,2,4,0,11,2,8,0,0,3,1,0,0,1,0,2044,1975,92,4.5,23,1.16,1952,95.5
"3","Bokn_1145",34,0,256,38,15,1,2,1,0,0,0,0,0,0,0,0,0,347,314,91,26.22,58,18.47,256,73.78
"4","Tysvær_1146",1234,2,23,2165,307,0,72,32,5,19,1,11,0,0,0,1,0,3872,3398,1707,44.09,1233,36.29,2165,55.91
"5","Karmøy_1149",4081,3,14,351,10592,7,29,27,6,20,45,40,1,0,4,18,1,15239,12855,4647,30.49,2263,17.6,10592,69.51
"6","Utsira_1151",2,0,0,0,2,98,0,0,0,1,0,0,0,0,0,0,0,103,111,5,4.85,13,11.71,98,95.15
"7","Vindafjord (1965-2005)_1154",201,11,3,97,49,0,1616,232,21,4,1,11,0,0,2,3,0,2251,2009,635,28.21,393,19.56,1616,71.79
"8","Ølen (2002-2005)_1159",97,1,0,41,19,0,145,1068,49,4,0,20,1,0,7,7,0,1459,1668,391,26.8,600,35.97,1068,73.2
"9","Etne (-2019)_1211",56,0,0,20,11,0,59,196,1317,2,1,33,0,0,11,38,3,1747,1445,430,24.61,128,8.86,1317,75.39
"10","Sveio (-2019)_1216",680,1,3,71,121,0,9,13,2,956,9,86,1,0,7,3,0,1962,1114,1006,51.27,158,14.18,956,48.73
"11","Bømlo (1916-2019)_1219",74,0,0,4,25,0,2,3,2,9,4005,375,19,0,1,1,0,4520,4203,515,11.39,198,4.71,4005,88.61
"12","Stord (-2019)_1221",67,0,0,9,15,1,1,11,1,1,105,6682,130,19,63,4,0,7109,8118,427,6.01,1436,17.69,6682,93.99
"13","Fitjar (-2019)_1222",8,0,0,2,2,0,0,4,1,0,10,446,819,3,1,0,1,1297,1018,478,36.85,199,19.55,819,63.15
"14","Tysnes (-2019)_1223",3,0,0,0,3,0,0,0,0,1,0,69,12,926,15,0,0,1029,955,103,10.01,29,3.04,926,89.99
"15","Kvinnherad (-2019)_1224",30,0,0,2,23,0,0,14,21,0,11,237,33,6,5252,2,1,5632,5398,380,6.75,146,2.7,5252,93.25
"16","Odda (1913-2019)_1228",27,0,0,3,1,0,0,2,0,0,0,15,0,0,22,3245,28,3343,3705,98,2.93,460,12.42,3245,97.07
"17","Ullensvang (1977-2019)_1231",6,0,0,0,2,0,2,3,1,0,0,6,0,0,3,369,1242,1634,1278,392,23.99,36,2.82,1242,76.01
