"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord (1965-2005)_1154","Ølen (2002-2005)_1159","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",10573,6,21,671,1762,0,80,58,14,106,12,170,4,1,7,8,0,13493,2920,21.64,17863,7290,40.81,10573,78.36
"2","Sauda_1135",54,1917,0,10,5,0,9,14,6,0,0,7,0,0,1,1,0,2024,107,5.29,1943,26,1.34,1917,94.71
"3","Bokn_1145",41,0,200,57,11,0,2,1,0,1,1,0,0,0,0,0,0,314,114,36.31,266,66,24.81,200,63.69
"4","Tysvær_1146",1416,1,30,2182,369,0,92,31,9,16,3,29,2,0,1,3,0,4184,2002,47.85,3573,1391,38.93,2182,52.15
"5","Karmøy_1149",4406,4,9,373,10744,3,37,34,16,25,15,87,0,1,4,3,2,15763,5019,31.84,13176,2432,18.46,10744,68.16
"6","Utsira_1151",8,0,0,0,1,88,0,0,0,0,0,0,0,0,0,0,0,97,9,9.28,91,3,3.3,88,90.72
"7","Vindafjord (1965-2005)_1154",211,9,1,91,56,0,1521,274,24,4,0,14,0,0,0,0,0,2205,684,31.02,2015,494,24.52,1521,68.98
"8","Ølen (2002-2005)_1159",102,1,1,36,24,0,188,1119,74,2,2,19,0,0,6,2,1,1577,458,29.04,1801,682,37.87,1119,70.96
"9","Etne (-2019)_1211",63,0,0,20,9,0,61,214,1292,0,1,23,3,0,20,21,3,1730,438,25.32,1477,185,12.53,1292,74.68
"10","Sveio (-2019)_1216",744,0,4,102,126,0,11,17,4,884,6,83,4,0,4,0,0,1989,1105,55.56,1081,197,18.22,884,44.44
"11","Bømlo (1916-2019)_1219",69,0,0,9,21,0,7,2,1,21,3969,462,20,1,8,5,2,4597,628,13.66,4151,182,4.38,3969,86.34
"12","Stord (-2019)_1221",97,0,0,3,9,0,5,11,4,14,120,6782,140,13,46,5,0,7249,467,6.44,8412,1630,19.38,6782,93.56
"13","Fitjar (-2019)_1222",14,0,0,3,1,0,0,5,0,2,10,420,827,2,3,2,0,1289,462,35.84,1041,214,20.56,827,64.16
"14","Tysnes (-2019)_1223",3,0,0,1,4,0,0,3,0,0,1,68,14,902,20,3,0,1019,117,11.48,930,28,3.01,902,88.52
"15","Kvinnherad (-2019)_1224",32,2,0,4,25,0,2,11,25,0,10,228,27,9,5166,43,3,5587,421,7.54,5328,162,3.04,5166,92.46
"16","Odda (1913-2019)_1228",23,3,0,10,6,0,0,5,6,5,1,16,0,0,34,3027,46,3182,155,4.87,3459,432,12.49,3027,95.13
"17","Ullensvang (1977-2019)_1231",7,0,0,1,3,0,0,2,2,1,0,4,0,1,8,336,1142,1507,365,24.22,1199,57,4.75,1142,75.78
