"","Bokommune","Haugesund_1106","Sauda_1135","Bokn_1145","Tysvær_1146","Karmøy_1149","Utsira_1151","Vindafjord_1160","Etne (-2019)_1211","Sveio (-2019)_1216","Bømlo (1916-2019)_1219","Stord (-2019)_1221","Fitjar (-2019)_1222","Tysnes (-2019)_1223","Kvinnherad (-2019)_1224","Odda (1913-2019)_1228","Ullensvang (1977-2019)_1231","Tot_bosted","Pendlere","Andel_pendlere","Tot_arb_komm","Arb_inv","Andel_arb_inv","Bo_og_arb_komm","Andel_bo_arb_komm"
"1","Haugesund_1106",12038,2,28,867,2327,3,255,21,211,46,106,5,5,12,3,1,15930,3892,24.43,20167,8129,40.31,12038,75.57
"2","Sauda_1135",34,1829,1,1,8,0,21,8,0,0,2,0,0,1,2,0,1907,78,4.09,1856,27,1.45,1829,95.91
"3","Bokn_1145",59,0,216,38,27,0,15,0,1,1,2,0,0,0,0,0,359,143,39.83,302,86,28.48,216,60.17
"4","Tysvær_1146",1560,2,33,2306,540,0,266,18,38,6,18,1,3,1,1,0,4793,2487,51.89,4138,1832,44.27,2306,48.11
"5","Karmøy_1149",4963,6,18,599,11602,1,172,15,45,14,46,2,4,9,4,0,17500,5898,33.7,14903,3301,22.15,11602,66.3
"6","Utsira_1151",6,0,0,0,3,89,1,0,0,0,0,0,0,0,0,0,99,10,10.1,93,4,4.3,89,89.9
"7","Vindafjord_1160",314,7,1,141,82,0,3409,137,11,5,29,0,0,3,2,2,4143,734,17.72,4639,1230,26.51,3409,82.28
"8","Etne (-2019)_1211",47,1,1,24,17,0,366,1372,1,0,8,0,0,24,23,0,1884,512,27.18,1625,253,15.57,1372,72.82
"9","Sveio (-2019)_1216",813,0,3,128,176,0,80,9,1107,28,115,3,4,4,1,0,2471,1364,55.2,1507,400,26.54,1107,44.8
"10","Bømlo (1916-2019)_1219",96,1,1,9,32,0,5,1,43,4186,561,23,4,4,1,0,4967,781,15.72,4536,350,7.72,4186,84.28
"11","Stord (-2019)_1221",173,0,0,12,55,0,21,11,42,216,7320,226,31,31,4,1,8143,823,10.11,8917,1597,17.91,7320,89.89
"12","Fitjar (-2019)_1222",15,0,0,4,7,0,3,2,6,16,428,932,1,5,0,0,1419,487,34.32,1200,268,22.33,932,65.68
"13","Tysnes (-2019)_1223",1,0,0,0,6,0,0,0,1,4,80,4,954,15,1,0,1066,112,10.51,1036,82,7.92,954,89.49
"14","Kvinnherad (-2019)_1224",32,2,0,4,15,0,18,21,0,13,190,4,30,5124,46,2,5501,377,6.85,5251,127,2.42,5124,93.15
"15","Odda (1913-2019)_1228",14,5,0,3,3,0,5,10,1,1,9,0,0,13,2923,56,3043,120,3.94,3364,441,13.11,2923,96.06
"16","Ullensvang (1977-2019)_1231",2,1,0,2,3,0,2,0,0,0,3,0,0,5,353,1033,1404,371,26.42,1095,62,5.66,1033,73.58
